"Date","Open","High","Low","Close"
"3/29/2019 9:00","138.24","141.65","138.22","141.04"
"3/29/2019 10:00","141.04","141.04","140.67","140.74"
"3/29/2019 11:00","140.74","140.98","140.39","140.57"
"3/29/2019 12:00","140.57","140.63","139.58","140.17"
"3/29/2019 13:00","140.17","140.64","140.16","140.53"
"3/29/2019 14:00","140.53","140.53","140.16","140.16"
"3/29/2019 15:00","140.16","140.66","140.14","140.6"
"3/29/2019 16:00","140.6","140.6","140.23","140.53"
"3/29/2019 17:00","140.53","140.64","140.44","140.61"
"3/29/2019 18:00","140.61","140.95","140.41","140.95"
"3/29/2019 19:00","140.95","140.97","140.69","140.72"
"3/29/2019 20:00","140.72","141","140.46","140.58"
"3/29/2019 21:00","140.58","140.93","140.39","140.82"
"3/29/2019 22:00","140.82","141","140.74","140.95"
"3/29/2019 23:00","140.95","140.95","140.95","140.95"
"3/30/2019 0:00","140.95","145.74","140.95","144.98"
"3/30/2019 1:00","144.98","145.34","144.15","144.81"
"3/30/2019 2:00","144.81","144.89","143.74","143.75"
"3/30/2019 3:00","143.75","144.13","142.73","143.08"
"3/30/2019 4:00","143.08","143.08","140.64","142.35"
"3/30/2019 5:00","142.35","142.8","142.35","142.66"
"3/30/2019 6:00","142.66","142.66","141.67","142.1"
"3/30/2019 7:00","142.1","142.1","141.39","141.94"
"3/30/2019 8:00","141.94","141.94","141.36","141.42"
"3/30/2019 9:00","141.42","142.14","141.42","141.85"
"3/30/2019 10:00","141.85","141.85","141.16","141.19"
"3/30/2019 11:00","141.19","141.89","141.19","141.67"
"3/30/2019 12:00","141.67","142.38","141.67","142.16"
"3/30/2019 13:00","142.16","142.32","141.1","141.84"
"3/30/2019 14:00","141.84","141.85","141.51","141.78"
"3/30/2019 15:00","141.78","141.78","141.51","141.51"
"3/30/2019 16:00","141.51","141.51","140.13","141.08"
"3/30/2019 17:00","141.08","141.42","140.86","141.1"
"3/30/2019 18:00","141.1","141.76","141.1","141.57"
"3/30/2019 19:00","141.57","141.9","141.5","141.72"
"3/30/2019 20:00","141.72","141.72","141.3","141.43"
"3/30/2019 21:00","141.43","142.22","141.34","141.88"
"3/30/2019 22:00","141.88","141.92","141.6","141.67"
"3/30/2019 23:00","141.67","142.25","141.67","142.06"
"3/31/2019 0:00","142.06","142.1","141.16","141.25"
"3/31/2019 1:00","141.25","141.5","140.79","140.79"
"3/31/2019 2:00","140.79","140.99","140.73","140.73"
"3/31/2019 3:00","140.73","141.1","140.6","141.1"
"3/31/2019 4:00","141.1","141.18","140.78","140.78"
"3/31/2019 5:00","140.78","140.88","140.61","140.88"
"3/31/2019 6:00","140.88","140.88","140.57","140.57"
"3/31/2019 7:00","140.57","140.57","140.19","140.32"
"3/31/2019 8:00","140.32","140.69","140.32","140.65"
"3/31/2019 9:00","140.65","141.21","140.65","141.2"
