Date,Open,High,Low,Close,Market Cap
8/15/2017,4318.3,4436.01,3821.85,4154.84,70851560010
8/16/2017,4154.84,4364.05,3935.01,4322.44,68361085608
8/17/2017,4322.44,4474,4226.99,4284.45,72237728163
8/18/2017,4284.45,4355,3971.01,4102.48,70733457984
8/19/2017,4102.48,4184.8,3985,4145.11,67773253559
8/20/2017,4145.11,4168.88,4010.8,4049.98,68468088519
8/21/2017,4049.98,4073.73,3943.44,3993.87,67745877212
8/22/2017,3993.87,4140.05,3600.01,4093.28,66353221364
8/23/2017,4093.28,4250.02,4066.23,4147.1,67838443567
8/24/2017,4147.1,4350,4108.82,4313.21,68783938948
8/25/2017,4313.21,4480.01,4284.83,4371.25,71223178081
8/26/2017,4371.25,4371.25,4371.25,4371.25,72293011175
8/27/2017,4371.25,4371.26,4321.86,4340.88,71970039641
8/28/2017,4340.88,4400,4202.48,4379.96,72035335125
8/29/2017,4379.96,4705.07,4345.13,4589.99,72601080606
8/30/2017,4589.99,4641.43,4495.05,4583.85,76093209210
8/31/2017,4583.85,4762.76,4579.91,4736.28,75921496267
9/1/2017,4736.28,4924,4709.28,4924,78458727618
9/2/2017,4924,4985,4505,4642.85,81249960362
9/3/2017,4642.85,4740.41,4460.05,4607.47,75949590926
9/4/2017,4607.47,4614.36,4100,4278.86,75997635264
9/5/2017,4278.86,4494.6,4012.02,4393,70379097633
9/6/2017,4393,4645,4380.78,4609.17,73044690540
9/7/2017,4609.17,4665.23,4484.68,4623.19,76101447519
9/8/2017,4623.19,4669.98,4000,4346.24,76515412128
9/9/2017,4346.24,4405,4182.16,4325.17,71229288542
9/10/2017,4325.17,4329.97,4083.55,4243.48,70915713194
9/11/2017,4243.48,4370.28,4110.48,4209.69,70109152175
9/12/2017,4209.69,4372.05,4070.01,4155.55,69566770398
9/13/2017,4155.55,4173.78,3743.75,3855.01,68656309914
9/14/2017,3855.01,3920.2,3219.89,3242.63,63554982688
9/15/2017,3242.63,3839.19,2955.01,3709.85,54655165098
9/16/2017,3709.85,3854.7,3580.01,3715.38,61120819018
9/17/2017,3715.38,3825.54,3505.94,3716.46,61135571640
9/18/2017,3716.46,4115.93,3716.45,4098.03,61361952096
9/19/2017,4098.03,4117.03,3850,3903.4,67320686940
9/20/2017,3903.4,4034.99,3828.93,3866,64763584849
9/21/2017,3866,3899.86,3573,3616.74,64642810208
9/22/2017,3616.74,3758.12,3510.84,3620.96,60011807400
9/23/2017,3620.96,3812.88,3562.8,3783.6,59682150332
9/24/2017,3783.6,3783.61,3619.76,3667.99,62552814045
9/25/2017,3667.99,3956.86,3665.98,3916.48,60784325350
9/26/2017,3916.48,3958.06,3852.61,3885.14,65090943572
9/27/2017,3885.14,4225,3876.01,4204.51,64578645693
9/28/2017,4204.51,4281.6,3336.67,4188,69577457813
9/29/2017,4188,4209.85,4020,4182.9,69331536721
9/30/2017,4182.89,4339.99,4182.89,4327.63,69110853641
10/1/2017,4327.63,4399,4250,4388.74,72164380112
10/2/2017,4388.74,4457.01,4361,4385.7,72572629691
